time_hr,solid_pressurizer,bubble_phase,pressure_psia,pzr_level_pct,pzr_mass_lbm,pzr_total_enthalpy_btu,closure_phase_fraction
2.722242,1,NONE,368.835100,100.000000,110527.200000,10120390.000000,0.000000
2.725020,1,NONE,369.133700,100.000000,110527.200000,10120390.000000,0.000000
2.727798,1,NONE,369.326200,100.000000,110527.200000,10120390.000000,0.000000
2.730576,1,NONE,369.400200,100.000000,110527.200000,10120390.000000,0.000000
2.733353,1,NONE,369.370000,100.000000,110527.200000,10120390.000000,0.000000
2.736131,1,NONE,369.232100,100.000000,110527.200000,10120390.000000,0.000000
2.738909,1,NONE,368.998800,100.000000,110527.200000,10120390.000000,0.000000
2.741687,1,NONE,368.687000,100.000000,110527.200000,10120390.000000,0.000000
2.744465,1,NONE,368.319400,100.000000,110527.200000,10120390.000000,0.000000
2.747242,1,NONE,367.916100,100.000000,110527.200000,10120390.000000,0.000000
2.750020,1,NONE,367.499300,100.000000,110527.200000,10120390.000000,0.000000
2.752798,1,NONE,367.088600,100.000000,110527.200000,10120390.000000,0.000000
2.755576,1,NONE,366.704200,100.000000,110527.200000,10120390.000000,0.000000
2.758354,1,NONE,366.063600,100.000000,110527.200000,10120390.000000,0.000000
2.761132,1,NONE,365.482000,100.000000,110527.200000,10120390.000000,0.000000
2.763909,1,NONE,364.969800,100.000000,110527.200000,10120390.000000,0.000000
2.766687,1,NONE,364.314700,100.000000,110527.200000,10120390.000000,0.000000
2.769465,1,NONE,363.738200,100.000000,110527.200000,10120390.000000,0.000000
2.772243,1,NONE,363.082400,100.000000,110527.200000,10120390.000000,0.000000
2.775021,1,NONE,362.499100,100.000000,110527.200000,10120390.000000,0.000000
2.777798,1,NONE,361.956700,100.000000,110527.200000,10120390.000000,0.000000
2.780576,1,NONE,361.487500,100.000000,110527.200000,10120390.000000,0.000000
2.783354,1,NONE,361.117200,100.000000,110527.200000,10120390.000000,0.000000
2.786132,1,NONE,360.870200,100.000000,110527.200000,10120390.000000,0.000000
2.788910,1,NONE,360.731800,100.000000,110527.200000,10120390.000000,0.000000
2.791687,1,NONE,360.716800,100.000000,110527.200000,10120390.000000,0.000000
2.794465,1,NONE,360.811600,100.000000,110527.200000,10120390.000000,0.000000
2.797243,1,NONE,361.008500,100.000000,110527.200000,10120390.000000,0.000000
2.800021,1,NONE,361.293900,100.000000,110527.200000,10120390.000000,0.000000
2.802799,1,NONE,361.649000,100.000000,110527.200000,10120390.000000,0.000000
2.805577,1,NONE,362.050800,100.000000,110527.200000,10120390.000000,0.000000
2.808354,1,NONE,362.479000,100.000000,110527.200000,10120390.000000,0.000000
2.811132,1,NONE,362.910400,100.000000,110527.200000,10120390.000000,0.000000
2.813910,1,NONE,363.324200,100.000000,110527.200000,10120390.000000,0.000000
2.816688,1,NONE,363.701500,100.000000,110527.200000,10120390.000000,0.000000
2.819466,1,NONE,364.303600,100.000000,110527.200000,10120390.000000,0.000000
