time_hr,pressure_psia,orifice75_count,orifice45_open,lineup_index,drain_policy,drain_letdown_gpm,drain_charging_gpm,drain_net_outflow_gpm
8.244215,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.246993,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.249771,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.252549,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.255327,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.258105,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.260883,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.263661,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.266439,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.269217,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.271996,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.274774,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.277552,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.280330,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.283108,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.285886,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.288664,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.291442,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.294220,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.296998,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.299776,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.302554,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.305332,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.308110,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.310888,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.313666,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.316444,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.319222,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.322001,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.324779,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.327557,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.330335,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.333113,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.335891,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
