time_hr,pzr_mass_lbm,pzr_total_enthalpy_btu,liquid_occupancy_pct,pressure_psia,pzr_temp_f,net_pzr_heat_mw,charging_gpm,letdown_gpm,surge_gpm,net_cvcs_gpm,startup_hold_active,spray_active,spray_flow_gpm,heater_power_mw,last_failure_reason
0.147222,110527.200000,10120390.000000,100.000000,112.830800,119.987500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.150000,110527.200000,10120390.000000,100.000000,112.795600,119.987200,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.152778,110527.200000,10120390.000000,100.000000,112.760300,119.987000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.155556,110527.200000,10120390.000000,100.000000,112.725000,119.986800,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.158333,110527.200000,10120390.000000,100.000000,112.689800,119.986500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.161111,110527.200000,10120390.000000,100.000000,112.654500,119.986300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.163889,110527.200000,10120390.000000,100.000000,112.619200,119.986000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.166667,110527.200000,10120390.000000,100.000000,112.584000,119.985800,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.169445,110527.200000,10120390.000000,100.000000,112.548700,119.985600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.172222,110527.200000,10120390.000000,100.000000,112.513500,119.985300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.175000,110527.200000,10120390.000000,100.000000,112.478200,119.985100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.177778,110527.200000,10120390.000000,100.000000,112.442900,119.984900,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.180556,110527.200000,10120390.000000,100.000000,112.407700,119.984600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.183334,110527.200000,10120390.000000,100.000000,112.372400,119.984400,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.186111,110527.200000,10120390.000000,100.000000,112.337100,119.984200,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.188889,110527.200000,10120390.000000,100.000000,112.301900,119.983900,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.191667,110527.200000,10120390.000000,100.000000,112.266600,119.983700,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.194445,110527.200000,10120390.000000,100.000000,112.231400,119.983400,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.197222,110527.200000,10120390.000000,100.000000,112.196100,119.983200,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.200000,110527.200000,10120390.000000,100.000000,112.160800,119.983000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.202778,110527.200000,10120390.000000,100.000000,112.125600,119.982700,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.205556,110527.200000,10120390.000000,100.000000,112.090300,119.982500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.208334,110527.200000,10120390.000000,100.000000,112.055000,119.982300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.211111,110527.200000,10120390.000000,100.000000,112.019800,119.982000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.213889,110527.200000,10120390.000000,100.000000,111.984500,119.981800,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.216667,110527.200000,10120390.000000,100.000000,111.949200,119.981600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.219445,110527.200000,10120390.000000,100.000000,111.914000,119.981300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.222223,110527.200000,10120390.000000,100.000000,111.878700,119.981100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.225000,110527.200000,10120390.000000,100.000000,111.843500,119.980800,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.227778,110527.200000,10120390.000000,100.000000,111.808200,119.980600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.230556,110527.200000,10120390.000000,100.000000,111.772900,119.980400,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.233334,110527.200000,10120390.000000,100.000000,111.737700,119.980100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.236111,110527.200000,10120390.000000,100.000000,111.702400,119.979900,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.238889,110527.200000,10120390.000000,100.000000,111.667100,119.979700,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.241667,110527.200000,10120390.000000,100.000000,111.631900,119.979400,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.244445,110527.200000,10120390.000000,100.000000,111.596600,119.979200,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.247223,110527.200000,10120390.000000,100.000000,111.561400,119.979000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.250000,110527.200000,10120390.000000,100.000000,111.526100,119.978700,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.252778,110527.200000,10120390.000000,100.000000,111.490800,119.978500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.255556,110527.200000,10120390.000000,100.000000,111.455600,119.978200,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.258334,110527.200000,10120390.000000,100.000000,111.420300,119.978000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.261112,110527.200000,10120390.000000,100.000000,111.385100,119.977800,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.263889,110527.200000,10120390.000000,100.000000,111.349800,119.977500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.266667,110527.200000,10120390.000000,100.000000,111.314600,119.977300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.269445,110527.200000,10120390.000000,100.000000,111.279300,119.977100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.272223,110527.200000,10120390.000000,100.000000,111.244000,119.976800,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.275000,110527.200000,10120390.000000,100.000000,111.208800,119.976600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.277778,110527.200000,10120390.000000,100.000000,111.173500,119.976300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
