time_hr,pressure_psia,orifice75_count,orifice45_open,lineup_prev,lineup_curr,lineup_event,lineup_event_count,lineup_event_prev,lineup_event_new,lineup_event_trigger,lineup_event_reason,lineup_demand,drain_policy,drain_demand_gpm,drain_hydraulic_capacity_gpm,drain_letdown_saturated,drain_letdown_gpm,drain_expected_gpm,drain_charging_gpm,drain_net_outflow_gpm,drain_deltaP_psi,drain_density_lbm_ft3,drain_quality,d_achieved_gpm,d_capacity_gpm,d_deltaP_psi,d_density,d_quality,delta_cause
7.891421,375.084800,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.025300,75.000000,1,75.000000,75.000000,0.000000,75.000000,19.799620,52.035610,0.000285,0.000000,0.000000,0.535584,-0.005932,0.000025,NO_EFFECTIVE_DELTA
7.894199,375.622000,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.976600,75.000000,1,75.000000,75.000000,0.000000,75.000000,20.384770,52.029130,0.000291,0.000000,0.000000,0.585144,-0.006481,0.000007,NO_EFFECTIVE_DELTA
7.896976,376.208900,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.926200,75.000000,1,75.000000,75.000000,0.000000,75.000000,20.922000,52.023190,0.000317,0.000000,0.000000,0.537231,-0.005939,0.000025,NO_EFFECTIVE_DELTA
7.899754,376.747800,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.877400,75.000000,1,75.000000,75.000000,0.000000,75.000000,21.508910,52.016700,0.000323,0.000000,0.000000,0.586914,-0.006485,0.000007,NO_EFFECTIVE_DELTA
7.902532,377.336400,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.827000,75.000000,1,75.000000,75.000000,0.000000,75.000000,22.047760,52.010750,0.000349,0.000000,0.000000,0.538849,-0.005951,0.000025,NO_EFFECTIVE_DELTA
7.905309,377.876900,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.778200,75.000000,1,75.000000,75.000000,0.000000,75.000000,22.636410,52.004260,0.000356,0.000000,0.000000,0.588654,-0.006496,0.000007,NO_EFFECTIVE_DELTA
7.908087,378.467300,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.727800,75.000000,1,75.000000,75.000000,0.000000,75.000000,23.176880,51.998290,0.000381,0.000000,0.000000,0.540466,-0.005962,0.000026,NO_EFFECTIVE_DELTA
7.910864,379.009400,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.679000,75.000000,1,75.000000,75.000000,0.000000,75.000000,23.767300,51.991790,0.000389,0.000000,0.000000,0.590424,-0.006508,0.000007,NO_EFFECTIVE_DELTA
7.913642,379.601600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.628600,75.000000,1,75.000000,75.000000,0.000000,75.000000,24.309390,51.985820,0.000415,0.000000,0.000000,0.542084,-0.005970,0.000026,NO_EFFECTIVE_DELTA
7.916420,380.194800,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.579800,75.000000,1,75.000000,75.000000,0.000000,75.000000,24.901610,51.979300,0.000422,0.000000,0.000000,0.592224,-0.006519,0.000008,NO_EFFECTIVE_DELTA
7.919197,380.739300,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.531000,75.000000,1,75.000000,75.000000,0.000000,75.000000,25.494750,51.972770,0.000430,0.000000,0.000000,0.593140,-0.006523,0.000008,NO_EFFECTIVE_DELTA
7.921975,381.334200,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.480500,75.000000,1,75.000000,75.000000,0.000000,75.000000,26.039310,51.966790,0.000456,0.000000,0.000000,0.544556,-0.005985,0.000026,NO_EFFECTIVE_DELTA
7.924752,381.880400,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.431700,75.000000,1,75.000000,75.000000,0.000000,75.000000,26.634220,51.960260,0.000464,0.000000,0.000000,0.594910,-0.006531,0.000008,NO_EFFECTIVE_DELTA
7.927530,382.477100,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.381300,75.000000,1,75.000000,75.000000,0.000000,75.000000,27.180390,51.954260,0.000490,0.000000,0.000000,0.546173,-0.005997,0.000026,NO_EFFECTIVE_DELTA
7.930307,383.024900,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.332500,75.000000,1,75.000000,75.000000,0.000000,75.000000,27.777100,51.947720,0.000499,0.000000,0.000000,0.596710,-0.006542,0.000008,NO_EFFECTIVE_DELTA
7.933085,383.623400,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.282000,75.000000,1,75.000000,75.000000,0.000000,75.000000,28.324890,51.941720,0.000525,0.000000,0.000000,0.547791,-0.006004,0.000027,NO_EFFECTIVE_DELTA
