step,time_hr,pressure_psia,pzr_level_pct,primary_mass_lb
262,0.7277769,250.63829,100,817025.25
263,0.73055464,251.1293,100,817026.6
264,0.7333324,251.620255,100,817028
265,0.736110151,252.111221,100,817029.4
266,0.7388879,252.6022,100,817030.75
267,0.741665661,253.0932,100,817032.1
268,0.7444434,253.584213,100,817033.5
269,0.7472212,254.075165,100,817034.9
270,0.7499989,254.566208,100,817036.25
271,0.7527767,255.05719,100,817037.6
272,0.755554438,255.548187,100,817039
273,0.7583322,256.039185,100,817040.4
274,0.761109948,256.5302,100,817041.75
275,0.7638877,257.02124,100,817043.1
276,0.766665459,257.5123,100,817044.5
277,0.7694432,258.0033,100,817045.9
278,0.772220969,258.4943,100,817047.25
279,0.7749987,258.985382,100,817048.6
280,0.7777765,259.4764,100,817050
281,0.780554235,259.967468,100,817051.4
282,0.783332,260.458527,100,817052.75
283,0.786109746,260.949524,100,817054.1
284,0.7888875,261.4406,100,817055.5
285,0.791665256,261.931641,100,817056.9
286,0.794443,262.42276,100,817058.25
287,0.797220767,262.913818,100,817059.6
288,0.7999985,263.4049,100,817061
289,0.8027763,263.896,100,817062.4
290,0.805554032,264.387024,100,817063.75
291,0.8083318,264.878143,100,817065.1
292,0.811109543,265.3692,100,817066.5
293,0.8138873,265.860352,100,817067.9
294,0.816665053,266.35144,100,817069.25
295,0.8194428,266.84256,100,817070.6
296,0.822220564,267.333679,100,817072
297,0.8249983,267.824738,100,817073.4
298,0.8277761,268.3159,100,817074.75
299,0.8305538,268.806976,100,817076.1
300,0.8333316,269.2981,100,817077.5
301,0.83610934,269.7892,100,817078.9
302,0.8388871,270.280365,100,817080.25
303,0.841664851,270.7715,100,817081.6
304,0.8444426,271.2626,100,817083
305,0.847220361,271.753784,100,817084.4
306,0.8499981,272.2449,100,817085.75
307,0.8527759,272.736053,100,817087.1
308,0.8555536,273.2272,100,817088.5
309,0.8583314,273.718353,100,817089.9
310,0.861109138,274.209534,100,817091.25
311,0.8638869,274.7007,100,817092.6
312,0.866664648,275.191833,100,817094
313,0.8694424,275.683044,100,817095.4
314,0.872220159,276.1742,100,817096.75
315,0.8749979,276.665375,100,817098.1
316,0.877775669,277.156555,100,817099.5
317,0.8805534,277.647766,100,817100.9
318,0.8833312,278.138977,100,817102.25
319,0.886108935,278.630127,100,817103.6
320,0.8888867,279.121368,100,817105
321,0.891664445,279.612549,100,817106.4
322,0.8944422,280.10376,100,817107.75
323,0.897219956,280.594971,100,817109.1
324,0.8999977,281.0862,100,817110.5
325,0.902775466,281.577454,100,817111.9
326,0.9055532,282.068634,100,817113.25
327,0.908331,282.5599,100,817114.6
328,0.911108732,283.051117,100,817116
329,0.9138865,283.542358,100,817117.4
330,0.916664243,284.0336,100,817118.75
331,0.919442,284.524872,100,817120.1
332,0.922219753,285.016144,100,817121.5
333,0.9249975,285.507355,100,817122.9
334,0.927775264,285.998657,100,817124.25
335,0.930553,286.4899,100,817125.6
336,0.9333308,286.981171,100,817127
337,0.9361085,287.472443,100,817128.4
338,0.9388863,287.9637,100,817129.75
339,0.94166404,288.455017,100,817131.1
340,0.9444418,288.946259,100,817132.5
341,0.947219551,289.4376,100,817133.9
342,0.9499973,289.928864,100,817135.25
343,0.952775061,290.420135,100,817136.6
344,0.9555528,290.911438,100,817138
345,0.9583306,291.40274,100,817139.4
346,0.9611083,291.894073,100,817140.75
347,0.9638861,292.385345,100,817142.1
348,0.966663837,292.8767,100,817143.5
349,0.9694416,293.368,100,817144.9
350,0.972219348,293.8593,100,817146.25
351,0.9749971,294.350647,100,817147.6
352,0.977774858,294.84198,100,817149
353,0.9805526,295.333344,100,817150.4
354,0.983330369,295.824646,100,817151.75
355,0.9861081,296.31604,100,817153.1
356,0.9888859,296.807373,100,817154.5
357,0.991663635,297.2987,100,817155.9
358,0.9944414,297.79007,100,817157.25
359,0.997219145,298.281433,100,817158.6
360,0.9999969,298.772827,100,817160
